date,veg_name,whole_price,retail_price,shoping_mall_price,unit
2024-05-01,Onion Big,25,29 - 32,30 - 41,1kg
2024-05-01,Onion Small,38,44 - 48,46 - 63,1kg
2024-05-01,Tomato,27,31 - 34,32 - 45,1kg
2024-05-01,Green Chilli,45,52 - 57,54 - 74,1kg
2024-05-01,Beetroot,39,45 - 50,47 - 64,1kg
2024-05-01,Potato,33,38 - 42,40 - 54,1kg
2024-05-01,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg
2024-05-01,Amaranth Leaves,15,17 - 19,18 - 25,1kg
2024-05-01,Amla,70,81 - 89,84 - 116,1kg
2024-05-01,Ash gourd,19,22 - 24,23 - 31,1kg
2024-05-01,Baby Corn,56,64 - 71,67 - 92,1kg
2024-05-01,Banana Flower,15,17 - 19,18 - 25,1kg
2024-05-01,Capsicum,47,54 - 60,56 - 78,1kg
2024-05-01,Bitter Gourd,34,39 - 43,41 - 56,1kg
2024-05-01,Bottle Gourd,27,31 - 34,32 - 45,1kg
2024-05-01,Butter Beans,47,54 - 60,56 - 78,1kg
2024-05-01,Broad Beans,34,39 - 43,41 - 56,1kg
2024-05-01,Cabbage,22,25 - 28,26 - 36,1kg
2024-05-01,Carrot,43,49 - 55,52 - 71,1kg
2024-05-01,Cauliflower,26,30 - 33,31 - 43,1kg
2024-05-01,Cluster beans,41,47 - 52,49 - 68,1kg
2024-05-01,Coconut,34,39 - 43,41 - 56,1kg
2024-05-01,Colocasia Leaves,17,20 - 22,20 - 28,1kg
2024-05-01,Colocasia,29,33 - 37,35 - 48,1kg
2024-05-01,Coriander Leaves,9,10 - 11,11 - 15,1kg
2024-05-01,Corn,26,30 - 33,31 - 43,1kg
2024-05-01,Cucumber,26,30 - 33,31 - 43,1kg
2024-05-01,Curry Leaves,30,35 - 38,36 - 50,1kg
2024-05-01,Dill Leaves,15,17 - 19,18 - 25,1kg
2024-05-01,Drumsticks,40,46 - 51,48 - 66,1kg
2024-05-01,Brinjal,26,30 - 33,31 - 43,1kg
2024-05-01,Brinjal (Big),25,29 - 32,30 - 41,1kg
2024-05-01,Elephant Yam,24,28 - 30,29 - 40,1kg
2024-05-01,Fenugreek Leaves,10,12 - 13,12 - 17,1kg
2024-05-01,French Beans,53,61 - 67,64 - 87,1kg
2024-05-01,Garlic,158,182 - 201,190 - 261,1kg
2024-05-01,Ginger,112,129 - 142,134 - 185,1kg
2024-05-01,Onion Green,43,49 - 55,52 - 71,1kg
2024-05-01,Green Peas,49,56 - 62,59 - 81,1kg
2024-05-01,Ivy Gourd,24,28 - 30,29 - 40,1kg
2024-05-01,Lemon (Lime),68,78 - 86,82 - 112,1kg
2024-05-01,Mango Raw,31,36 - 39,37 - 51,1kg
2024-05-01,Mint Leaves,5,6 - 6,6 - 8,1kg
2024-05-01,Mushroom,95,109 - 121,114 - 157,1kg
2024-05-01,Mustard Leaves,12,14 - 15,14 - 20,1kg
2024-05-01,Ladies Finger,39,45 - 50,47 - 64,1kg
2024-05-01,Pumpkin,18,21 - 23,22 - 30,1kg
2024-05-01,Radish,24,28 - 30,29 - 40,1kg
2024-05-01,Ridge Gourd,32,37 - 41,38 - 53,1kg
2024-05-01,Shallot (Pearl Onion),37,43 - 47,44 - 61,1kg
2024-05-01,Snake Gourd,28,32 - 36,34 - 46,1kg
2024-05-01,Sorrel Leaves,11,13 - 14,13 - 18,1kg
2024-05-01,Spinach,17,20 - 22,20 - 28,1kg
2024-05-01,Sweet Potato,40,46 - 51,48 - 66,1kg
2024-05-02,Onion Big,25,29 - 32,30 - 41,1kg
2024-05-02,Onion Small,38,44 - 48,46 - 63,1kg
2024-05-02,Tomato,27,31 - 34,32 - 45,1kg
2024-05-02,Green Chilli,45,52 - 57,54 - 74,1kg
2024-05-02,Beetroot,39,45 - 50,47 - 64,1kg
2024-05-02,Potato,33,38 - 42,40 - 54,1kg
2024-05-02,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg
2024-05-02,Amaranth Leaves,15,17 - 19,18 - 25,1kg
2024-05-02,Amla,70,81 - 89,84 - 116,1kg
2024-05-02,Ash gourd,19,22 - 24,23 - 31,1kg
2024-05-02,Baby Corn,56,64 - 71,67 - 92,1kg
2024-05-02,Banana Flower,15,17 - 19,18 - 25,1kg
2024-05-02,Capsicum,47,54 - 60,56 - 78,1kg
2024-05-02,Bitter Gourd,34,39 - 43,41 - 56,1kg
2024-05-02,Bottle Gourd,27,31 - 34,32 - 45,1kg
2024-05-02,Butter Beans,47,54 - 60,56 - 78,1kg
2024-05-02,Broad Beans,34,39 - 43,41 - 56,1kg
2024-05-02,Cabbage,22,25 - 28,26 - 36,1kg
2024-05-02,Carrot,43,49 - 55,52 - 71,1kg
2024-05-02,Cauliflower,26,30 - 33,31 - 43,1kg
2024-05-02,Cluster beans,41,47 - 52,49 - 68,1kg
2024-05-02,Coconut,34,39 - 43,41 - 56,1kg
2024-05-02,Colocasia Leaves,17,20 - 22,20 - 28,1kg
2024-05-02,Colocasia,29,33 - 37,35 - 48,1kg
2024-05-02,Coriander Leaves,9,10 - 11,11 - 15,1kg
2024-05-02,Corn,26,30 - 33,31 - 43,1kg
2024-05-02,Cucumber,26,30 - 33,31 - 43,1kg
2024-05-02,Curry Leaves,30,35 - 38,36 - 50,1kg
2024-05-02,Dill Leaves,15,17 - 19,18 - 25,1kg
2024-05-02,Drumsticks,40,46 - 51,48 - 66,1kg
2024-05-02,Brinjal,26,30 - 33,31 - 43,1kg
2024-05-02,Brinjal (Big),25,29 - 32,30 - 41,1kg
2024-05-02,Elephant Yam,24,28 - 30,29 - 40,1kg
2024-05-02,Fenugreek Leaves,10,12 - 13,12 - 17,1kg
2024-05-02,French Beans,53,61 - 67,64 - 87,1kg
2024-05-02,Garlic,158,182 - 201,190 - 261,1kg
2024-05-02,Ginger,112,129 - 142,134 - 185,1kg
2024-05-02,Onion Green,43,49 - 55,52 - 71,1kg
2024-05-02,Green Peas,49,56 - 62,59 - 81,1kg
2024-05-02,Ivy Gourd,24,28 - 30,29 - 40,1kg
2024-05-02,Lemon (Lime),68,78 - 86,82 - 112,1kg
2024-05-02,Mango Raw,31,36 - 39,37 - 51,1kg
2024-05-02,Mint Leaves,5,6 - 6,6 - 8,1kg
2024-05-02,Mushroom,95,109 - 121,114 - 157,1kg
2024-05-02,Mustard Leaves,12,14 - 15,14 - 20,1kg
2024-05-02,Ladies Finger,39,45 - 50,47 - 64,1kg
2024-05-02,Pumpkin,18,21 - 23,22 - 30,1kg
2024-05-02,Radish,24,28 - 30,29 - 40,1kg
2024-05-02,Ridge Gourd,32,37 - 41,38 - 53,1kg
2024-05-02,Shallot (Pearl Onion),37,43 - 47,44 - 61,1kg
2024-05-02,Snake Gourd,28,32 - 36,34 - 46,1kg
2024-05-02,Sorrel Leaves,11,13 - 14,13 - 18,1kg
2024-05-02,Spinach,17,20 - 22,20 - 28,1kg
2024-05-02,Sweet Potato,40,46 - 51,48 - 66,1kg
2024-05-03,Onion Big,25,29 - 32,30 - 41,1kg
2024-05-03,Onion Small,38,44 - 48,46 - 63,1kg
2024-05-03,Tomato,27,31 - 34,32 - 45,1kg
2024-05-03,Green Chilli,45,52 - 57,54 - 74,1kg
2024-05-03,Beetroot,39,45 - 50,47 - 64,1kg
2024-05-03,Potato,33,38 - 42,40 - 54,1kg
2024-05-03,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg
